Date,Location,Location_Code,Average Temperature,Average Humidity,Temp_Range,Temp_Avg_3d,Humidity_Avg_3d,Insects_Lag1,Insects_Lag3,Recent_Activity,Days_Since_Cleaning,Month,Day,Season,Number of insects,New catches
2024-07-06,Cicalino 1,0,22.34,72.25,1.59,22.34,72.25,0.0,0.0,0,0,7,6,Mid_Summer,0.0,0.0
2024-07-07,Cicalino 1,0,23.52,76.73,1.2199999999999989,22.93,74.49000000000001,0.0,0.0,0,0,7,7,Mid_Summer,0.0,0.0
2024-07-08,Cicalino 1,0,25.67,69.14,1.8699999999999972,23.843333333333334,72.70666666666666,0.0,0.0,0,0,7,8,Mid_Summer,0.0,0.0
2024-07-09,Cicalino 1,0,25.87,53.65,1.9799999999999969,25.02,66.50666666666667,0.0,0.0,0,0,7,9,Mid_Summer,0.0,0.0
2024-07-10,Cicalino 1,0,26.41,58.94,1.9099999999999968,25.98333333333333,60.57666666666666,0.0,0.0,0,0,7,10,Mid_Summer,0.0,0.0
2024-07-11,Cicalino 1,0,26.26,54.39,2.1700000000000017,26.180000000000003,55.66,0.0,0.0,0,1,7,11,Mid_Summer,0.0,0.0
2024-07-12,Cicalino 1,0,26.17,57.75,1.7200000000000024,26.28,57.02666666666666,0.0,0.0,0,2,7,12,Mid_Summer,0.0,0.0
2024-07-13,Cicalino 1,0,25.49,69.14,1.870000000000001,25.973333333333333,60.42666666666667,0.0,0.0,0,3,7,13,Mid_Summer,0.0,0.0
2024-07-14,Cicalino 1,0,25.96,68.73,1.6899999999999975,25.87333333333333,65.20666666666666,0.0,0.0,1,4,7,14,Mid_Summer,1.0,1.0
2024-07-15,Cicalino 1,0,26.98,57.12,1.879999999999999,26.14333333333333,64.99666666666667,1.0,0.0,1,5,7,15,Mid_Summer,1.0,0.0
2024-07-16,Cicalino 1,0,26.46,55.91,2.020000000000003,26.46666666666667,60.586666666666666,1.0,0.0,1,6,7,16,Mid_Summer,2.0,1.0
