Date,Location,Average Temperature,Temperature Range (Low),Temperature Range (High),Average Humidity,Number of insects,New catches,Event
2024-07-06,Cicalino 1,22.34,21.53,23.12,72.25,0.0,0.0,0.0
2024-07-06,Cicalino 2,26.17,25.28,27.0,56.06,0.0,0.0,0.0
2024-07-06,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-06,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-06,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-07,Cicalino 1,23.52,22.91,24.13,76.73,0.0,0.0,0.0
2024-07-07,Cicalino 2,26.17,25.28,27.0,56.06,0.0,0.0,0.0
2024-07-07,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-07,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-07,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-08,Cicalino 1,25.67,24.69,26.56,69.14,0.0,0.0,0.0
2024-07-08,Cicalino 2,26.17,25.28,27.0,56.06,0.0,0.0,0.0
2024-07-08,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-08,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-08,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-09,Cicalino 1,25.87,24.85,26.83,53.65,0.0,0.0,0.0
2024-07-09,Cicalino 2,26.17,25.28,27.0,56.06,0.0,0.0,0.0
2024-07-09,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-09,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-09,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-10,Cicalino 1,26.41,25.42,27.33,58.94,0.0,0.0,1.0
2024-07-10,Cicalino 2,26.17,25.28,27.0,56.06,0.0,0.0,0.0
2024-07-10,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-10,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-10,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-11,Cicalino 1,26.26,25.13,27.3,54.39,0.0,0.0,0.0
2024-07-11,Cicalino 2,26.17,25.28,27.0,56.06,0.0,0.0,1.0
2024-07-11,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-11,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-11,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-12,Cicalino 1,26.17,25.29,27.01,57.75,0.0,0.0,0.0
2024-07-12,Cicalino 2,26.56,25.54,27.57,57.27,0.0,0.0,0.0
2024-07-12,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-12,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-12,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-13,Cicalino 1,25.49,24.55,26.42,69.14,0.0,0.0,0.0
2024-07-13,Cicalino 2,25.91,24.88,26.95,67.64,0.0,0.0,0.0
2024-07-13,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-13,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-13,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-14,Cicalino 1,25.96,25.12,26.81,68.73,1.0,1.0,0.0
2024-07-14,Cicalino 2,26.43,25.51,27.36,67.37,0.0,0.0,0.0
2024-07-14,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-14,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-14,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-15,Cicalino 1,26.98,26.0,27.88,57.12,1.0,0.0,0.0
2024-07-15,Cicalino 2,27.31,26.19,28.35,56.81,0.0,0.0,0.0
2024-07-15,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-15,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-15,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-16,Cicalino 1,26.46,25.4,27.42,55.91,2.0,1.0,0.0
2024-07-16,Cicalino 2,26.47,25.58,27.37,56.24,0.0,0.0,0.0
2024-07-16,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-16,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-16,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-17,Cicalino 1,27.66,26.62,28.67,55.03,1.0,1.0,1.0
2024-07-17,Cicalino 2,27.43,26.33,28.52,55.76,0.0,0.0,0.0
2024-07-17,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-17,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-17,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-18,Cicalino 1,27.05,26.02,28.1,52.11,1.0,0.0,0.0
2024-07-18,Cicalino 2,26.86,25.95,27.87,53.36,0.0,0.0,0.0
2024-07-18,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-18,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-18,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-19,Cicalino 1,27.72,26.69,28.62,54.54,1.0,0.0,0.0
2024-07-19,Cicalino 2,27.89,26.99,28.75,54.5,1.0,1.0,1.0
2024-07-19,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-19,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-19,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-20,Cicalino 1,26.83,25.9,27.72,63.96,1.0,0.0,0.0
2024-07-20,Cicalino 2,26.82,25.91,27.82,63.39,2.0,1.0,0.0
2024-07-20,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-20,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-20,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-21,Cicalino 1,26.6,25.7,27.45,67.95,1.0,1.0,1.0
2024-07-21,Cicalino 2,27.06,26.06,28.06,65.77,2.0,0.0,0.0
2024-07-21,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-21,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-21,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-22,Cicalino 1,25.07,23.96,26.19,73.41,2.0,1.0,0.0
2024-07-22,Cicalino 2,25.67,24.47,26.83,69.78,2.0,0.0,0.0
2024-07-22,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-22,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-22,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-23,Cicalino 1,26.94,26.19,27.65,66.84,0.0,0.0,0.0
2024-07-23,Cicalino 2,27.09,26.38,27.95,64.54,2.0,0.0,0.0
2024-07-23,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-23,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-23,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-24,Cicalino 1,27.92,26.87,29.0,62.3,0.0,0.0,0.0
2024-07-24,Cicalino 2,28.08,26.95,29.25,61.77,1.0,1.0,1.0
2024-07-24,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-24,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-24,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-25,Cicalino 1,28.34,27.35,29.27,58.56,1.0,1.0,0.0
2024-07-25,Cicalino 2,28.67,27.45,29.67,58.13,1.0,1.0,1.0
2024-07-25,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-25,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-25,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-26,Cicalino 1,27.53,26.71,28.34,65.52,1.0,0.0,0.0
2024-07-26,Cicalino 2,27.9,26.96,28.9,65.34,1.0,0.0,0.0
2024-07-26,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-26,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-26,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-27,Cicalino 1,27.46,26.58,28.33,63.67,1.0,0.0,0.0
2024-07-27,Cicalino 2,27.56,26.55,28.5,63.17,1.0,0.0,0.0
2024-07-27,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-27,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-27,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-28,Cicalino 1,27.36,26.38,28.31,57.7,3.0,2.0,0.0
2024-07-28,Cicalino 2,27.36,26.42,28.39,57.8,0.0,0.0,0.0
2024-07-28,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-28,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-28,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-29,Cicalino 1,28.6,27.67,29.48,51.48,0.0,0.0,1.0
2024-07-29,Cicalino 2,28.67,27.71,29.72,52.1,0.0,0.0,1.0
2024-07-29,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-29,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-29,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-30,Cicalino 1,30.7,29.75,31.79,45.11,0.0,0.0,0.0
2024-07-30,Cicalino 2,30.49,29.42,31.72,45.98,0.0,0.0,0.0
